perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType,,A,13.61499978,2.086118311,PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV
15.13320746,4.957264957,4.597701149,228.5515241,1.078205128,18.18755241,0.950536779,4.089065606,6.104890656,WhitePure,,B,4.289856677,0.67253183,0.727766819,0.992381699,0.452594412,0.813110636,0.733291952,0.813110636,0.741409902,0.19582115,0.809440331
16.08549398,5.128205128,4.827586207,243.7392996,1.062271062,19.39615717,0.952327747,4.006703911,6.123947858,WhitePure,,C,4.251345345,0.765267522,1.18425412,1.246555796,0.752992705,1.099449636,0.548471332,1.099449636,0.767535765,0.046177525,0.830448631
12.83418473,4.102564103,3.908045977,164.3709246,1.049773756,13.08022258,0.947683924,3.81852861,6.635531335,WhitePure,,D,185.4231283,53.04123928,-0.374290872,-0.278488788,-0.448600467,-0.396902561,0.403513984,-0.396902561,0.699793672,-0.295719687,1.394408578
14.7202507,4.615384615,4.597701149,213.6087128,1.003846154,16.99844126,0.960932203,3.994830508,6.629237288,WhitePure,,E,1.01498533,0.086213681,0.529812193,0.484033504,0.452594412,0.531390006,-0.129204271,0.531390006,0.893053877,0.024604645,1.387470139
14.72025067,4.615384615,4.597701149,211.6489998,1.003846154,16.84249226,0.963931624,3.528632479,6.607863248,WhitePure,,F,14.75550372,4.220887709,0.529812183,0.484033504,0.452594412,0.494443038,-0.129204271,0.494443038,0.936808134,-0.822434293,1.363907802
14.50451886,4.786324786,4.367816092,205.2799327,1.095816464,16.335658,0.929779736,4.316740088,6.180528634,WhitePure,,G,0.899712008,0.068551514,0.426399155,0.738207602,0.152196119,0.374365393,0.937567373,0.374365393,0.438615079,0.609484741,0.892822208
14.82811669,4.615384615,4.597701149,222.182457,1.003846154,17.68071815,0.928326531,3.893142857,6.154693878,WhitePure,,H,3.981288466,0.550385595,0.58151875,0.484033504,0.452594412,0.69303299,-0.129204271,0.69303299,0.417416348,-0.160152464,0.864342461
14.09156207,4.615384615,4.137931034,194.2565473,1.115384615,15.45844486,0.959535963,3.829512761,6.254756381,WhitePure,,I,5.370625215,0.907127323,0.228444519,0.484033504,-0.148202174,0.166538698,1.164540063,0.166538698,0.872686121,-0.275762496,0.974649471
12.94205064,4.102564103,3.908045977,164.1259605,1.049773756,13.06072895,0.989972752,3.64719346,6.551498638,WhitePure,,,,,-0.322584358,-0.278488788,-0.448600467,-0.401520932,0.403513984,-0.401520932,1.316684909,-0.607019894,1.301772521
13.09459611,4.102564103,4.137931034,165.5957452,0.991452991,13.1776907,0.996108108,3.628756757,7.314702703,WhitePure,,,,,-0.249460287,-0.278488788,-0.148202174,-0.373810706,-0.272953642,-0.373810706,1.406184844,-0.640517689,2.143114245
13.46287338,4.273504274,4.137931034,179.313736,1.032763533,14.26933372,0.954085213,4.016541353,6.795989975,WhitePure,,,,,-0.072923187,-0.024314691,-0.148202174,-0.115181931,0.206210927,-0.115181931,0.793172927,0.064051253,1.571295147
14.19942796,4.444444444,4.367816092,201.850435,1.01754386,16.06274725,0.944340045,4.025950783,6.752483221,WhitePure,,,,,0.280151022,0.229859407,0.152196119,0.309708199,0.029676612,0.309708199,0.651014604,0.081147322,1.523334125
15.86976215,4.957264957,5.057471264,243.2493713,0.98018648,19.35716992,0.916560748,4.440373832,5.49988785,WhitePure,,,,,1.080841081,0.992381699,1.053390998,1.090212894,-0.403634888,1.090212894,0.245782168,0.834115882,0.142496684
12.94205064,4.102564103,3.908045977,167.0655299,1.049773756,13.29465246,1.058016086,3.098981233,6.949919571,WhitePure,,,,,-0.322584358,-0.278488788,-0.448600467,-0.34610048,0.403513984,-0.34610048,2.309271791,-1.603071086,1.740984221
15.08852804,4.957264957,4.367816092,220.4677081,1.134952767,17.54426277,1.020533881,3.426858316,6.819301848,WhitePure,,,,,0.706349325,0.992381699,0.152196119,0.660704393,1.391512753,0.660704393,1.76249751,-1.007348585,1.596993715
16.75886217,5.316349244,5.192807815,266.2759986,1.023790873,21.1895707,0.968424658,3.818424658,6.335068493,WhitePure,,,,,1.507039352,1.526310758,1.230239678,1.524339766,0.10213626,1.524339766,1.002350575,-0.29590856,1.063184025
15.50148483,5.128205128,4.597701149,224.1421699,1.115384615,17.83666715,0.950383838,4.115474747,6.274181818,WhitePure,,,,,0.90430396,1.246555796,0.452594412,0.729979958,1.164540063,0.729979958,0.739178866,0.24380413,0.996063706
15.34893934,4.957264957,4.597701149,230.5112371,1.078205128,18.34350141,0.982440945,3.919606299,6.208425197,WhitePure,,,,,0.831179878,0.992381699,0.452594412,0.850057603,0.733291952,0.850057603,1.206814146,-0.112070824,0.92357485
16.39058495,5.128205128,5.287356322,263.3364292,0.969899666,20.9556472,0.93559792,4.248041594,5.765961872,WhitePure,,,,,1.330502284,1.246555796,1.353789291,1.468919315,-0.522952547,1.468919315,0.523488253,0.484665897,0.435811651
16.56163716,5.299145299,4.827586207,265.5411062,1.097680098,21.13108983,0.92535163,4.264974271,5.426346484,WhitePure,,,,,1.412497733,1.500729894,0.752992705,1.510484653,0.95918382,1.510484653,0.374019771,0.515431013,0.061426072
12.9867302,4.273504274,3.908045977,168.2903505,1.093514329,13.39212058,1.02208,3.535466667,7.26688,WhitePure,,,,,-0.301166801,-0.024314691,-0.448600467,-0.323008625,0.910864703,-0.323008625,1.78505163,-0.810017202,2.090395402
16.17485306,5.128205128,5.287356322,256.967362,0.969899666,20.44881294,1.009023091,4.124262877,6.285399645,WhitePure,,,,,1.227089214,1.246555796,1.353789291,1.348841669,-0.522952547,1.348841669,1.594583052,0.259771354,1.008430026
12.20549607,3.931623932,3.67816092,147.4684003,1.068910256,11.73516243,0.91081571,4.477945619,6.27734139,WhitePure,,,,,-0.675658568,-0.532662885,-0.74899876,-0.715570158,0.625479924,-0.715570158,0.161976029,0.902380364,0.999546758
13.83115066,4.444444444,4.137931034,188.1324443,1.074074074,14.97110423,0.856842105,4.656172249,5.851770335,WhitePure,,,,,0.103613912,0.229859407,-0.148202174,0.051079424,0.685375495,0.051079424,-0.625367699,1.226201756,0.530405278
13.09459611,4.102564103,4.137931034,168.5353147,0.991452991,13.41161421,0.958617021,3.95106383,6.947234043,WhitePure,,,,,-0.249460287,-0.278488788,-0.148202174,-0.318390254,-0.272953642,-0.318390254,0.859280996,-0.054915384,1.738023746
16.08549398,5.128205128,4.827586207,253.0479361,1.062271062,20.13691494,0.903956835,4.305179856,5.898920863,WhitePure,,,,,1.18425412,1.246555796,0.752992705,1.274947733,0.548471332,1.274947733,0.061921705,0.588480863,0.582383128
15.13320755,4.786324786,4.827586207,226.5918111,0.991452991,18.0316034,0.867094188,4.60256513,5.058116232,WhitePure,,,,,0.727766861,0.738207602,0.752992705,0.776163668,-0.272953642,0.776163668,-0.47581472,1.128802552,-0.344503991
16.91140763,5.299145299,5.517241379,276.5644917,0.960470085,22.00830297,0.918743802,4.085024793,5.900099174,WhitePure,,,,,1.580163423,1.500729894,1.654187584,1.718311347,-0.632327068,1.718311347,0.27762762,0.188479365,0.583682075
13.46287336,4.273504274,4.137931034,174.4144536,1.032763533,13.87946121,0.878251928,4.146529563,5.890488432,WhitePure,,,,,-0.072923198,-0.024314691,-0.148202174,-0.207549351,0.206210927,-0.207549351,-0.313050414,0.300227874,0.573087375
16.91140761,5.47008547,5.287356322,277.5443481,1.034559643,22.08627747,0.8984514,4.29752883,5.312092257,WhitePure,,,,,1.580163413,1.754903991,1.353789291,1.736784831,0.227044169,1.736784831,-0.018389201,0.574579653,-0.064525626
13.98369614,4.273504274,4.597701149,195.4813679,0.929487179,15.55591299,0.897921478,4.305127021,6.131547344,WhitePure,,,,,0.176737994,-0.024314691,0.452594412,0.189630553,-0.991700494,0.189630553,-0.026119479,0.588384866,0.83882616
13.72328477,4.273504274,4.367816092,191.3169778,0.978407557,15.22452136,0.915471698,4.435754717,5.814433962,WhitePure,,,,,0.051907409,-0.024314691,0.152196119,0.111118247,-0.424268768,0.111118247,0.229895582,0.825723375,0.489246367
16.49845082,5.299145299,5.057471264,263.5813933,1.047785548,20.97514082,0.852733564,4.527750865,4.883114187,WhitePure,,,,,1.382208777,1.500729894,1.053390998,1.473537685,0.380452588,1.473537685,-0.685301331,0.992871914,-0.537422935
15.6093508,4.957264957,4.827586207,242.514479,1.026862027,19.29868905,0.877673546,4.73043152,5.120825516,WhitePure,,,,,0.956010506,0.992381699,0.752992705,1.076357781,0.137758845,1.076357781,-0.321487603,1.36112402,-0.275374463
16.91140761,5.47008547,5.287356322,279.0141329,1.034559643,22.20323922,0.887672131,4.497901639,5.125114754,WhitePure,,,,,1.580163413,1.754903991,1.353789291,1.764495057,0.227044169,1.764495057,-0.175632543,0.938638616,-0.270646088
14.09156205,4.444444444,4.367816092,200.1356862,1.01754386,15.92629187,0.920993228,4.451918736,5.355485327,WhitePure,,,,,0.228444508,0.229859407,0.152196119,0.277379602,0.029676612,0.277379602,0.310441284,0.85509191,-0.016689926
14.09156205,4.444444444,4.367816092,196.2162602,1.01754386,15.61439387,0.875402299,4.474482759,4.533241379,WhitePure,,,,,0.228444508,0.229859407,0.152196119,0.203485666,0.029676612,0.203485666,-0.354619578,0.896088664,-0.9231161
16.13017352,4.957264957,5.287356322,256.2324697,0.937569677,20.39033207,0.871814947,4.40569395,4.584412811,WhitePure,,,,,1.205671667,0.992381699,1.353789291,1.334986556,-0.897950905,1.334986556,-0.40695033,0.771105727,-0.866705681
17.01927351,5.299145299,5.517241379,281.7087382,0.960470085,22.4176691,0.894415584,4.557662338,4.593246753,WhitePure,,,,,1.631869927,1.500729894,1.654187584,1.815297138,-0.632327068,1.815297138,-0.077261947,1.047218308,-0.856967311
13.5075529,4.273504274,4.367816092,179.5587001,0.978407557,14.28882735,0.852130326,4.583057644,5.055639098,WhitePure,,,,,-0.051505651,-0.024314691,0.152196119,-0.11056356,-0.424268768,-0.11056356,-0.69410111,1.093359244,-0.347234737
16.74292589,5.299145299,5.057471264,269.9252913,1.047785548,21.47997219,0.947118644,4.303254237,6.314440678,WhitePure,,,,,1.499400153,1.500729894,1.053390998,1.593140811,0.380452588,1.593140811,0.691547616,0.584982191,1.040444311
15.78900178,4.957264957,5.057471264,249.275269,0.98018648,19.83669563,0.934899083,4.349357798,6.365577982,WhitePure,,,,,1.042127856,0.992381699,1.053390998,1.203820679,-0.403634888,1.203820679,0.513293909,0.66874812,1.096817108
17.04854144,5.47008547,5.287356322,280.7419696,1.034559643,22.3407361,0.960261438,3.665294118,6.276470588,WhitePure,,,,,1.645899776,1.754903991,1.353789291,1.797070404,0.227044169,1.797070404,0.883269039,-0.574132665,0.998586803
16.11315603,5.128205128,4.827586207,251.4877714,1.062271062,20.01276097,0.932413793,4.278257713,5.878402904,WhitePure,,,,,1.197514177,1.246555796,0.752992705,1.24553355,0.548471332,1.24553355,0.477039575,0.539565806,0.559764518
15.42009114,4.957264957,4.827586207,232.5585843,1.026862027,18.50642413,0.913019608,3.452392157,6.395686275,WhitePure,,,,,0.865287146,0.992381699,0.752992705,0.888656763,0.137758845,0.888656763,0.194125543,-0.960955945,1.13000792
12.33453717,3.931623932,3.67816092,152.1709976,1.068910256,12.10938323,0.910470588,4.347176471,7.059529412,WhitePure,,,,,-0.613801531,-0.532662885,-0.74899876,-0.626910895,0.625479924,-0.626910895,0.156941542,0.664784849,1.861816036
15.11447559,4.786324786,4.597701149,230.1002483,1.041025641,18.31079596,0.940514851,4.290059406,6.091009901,WhitePure,,,,,0.718787523,0.738207602,0.452594412,0.842309128,0.30204384,0.842309128,0.59521433,0.561008396,0.79413845
16.67963084,5.47008547,5.057471264,270.9086257,1.081585082,21.55822345,0.951607445,3.846497462,6.302199662,WhitePure,,,,,1.469059087,1.754903991,1.053390998,1.611679865,0.772496325,1.611679865,0.757028313,-0.244902856,1.026950046
13.22516616,4.102564103,4.137931034,170.854351,0.991452991,13.59615726,0.987894737,3.395368421,7.366736842,WhitePure,,,,,-0.186870331,-0.278488788,-0.148202174,-0.27466887,-0.272953642,-0.27466887,1.286371717,-1.064562828,2.200475696
13.96298742,4.444444444,4.137931034,189.5377045,1.074074074,15.08293129,0.944095238,3.977333333,7.102571429,WhitePure,,,,,0.166811078,0.229859407,-0.148202174,0.077573154,0.685375495,0.077573154,0.64744347,-0.007186113,1.909264741
12.44258859,3.931623932,3.67816092,154.8751671,1.068910256,12.32457421,1.021387283,3.163699422,7.493410405,WhitePure,,,,,-0.562006087,-0.532662885,-0.74899876,-0.575928497,0.625479924,-0.575928497,1.774946576,-1.48548409,2.340118235
12.74820414,4.102564103,3.908045977,163.7251767,1.049773756,13.02883559,0.962417582,3.801978022,7.268571429,WhitePure,,,,,-0.415506463,-0.278488788,-0.448600467,-0.409077011,0.403513984,-0.409077011,0.914721947,-0.325790584,2.092260001
16.15791245,5.128205128,5.057471264,259.6002802,1.013986014,20.65833391,0.944761905,3.957671958,5.909347443,WhitePure,,,,,1.218968576,1.246555796,1.053390998,1.398480745,-0.01159115,1.398480745,0.657168517,-0.042909024,0.593877192
17.2646442,5.47008547,5.287356322,292.0503152,1.034559643,23.24062565,0.972201258,3.984842767,5.998301887,WhitePure,,,,,1.749490621,1.754903991,1.353789291,2.010269524,0.227044169,2.010269524,1.057441996,0.006457838,0.691938888
13.59407678,4.444444444,3.908045977,181.6710294,1.137254902,14.45692117,0.887146402,4.410620347,6.229478908,WhitePure,,,,,-0.010029632,0.229859407,-0.448600467,-0.070739277,1.418215423,-0.070739277,-0.183301654,0.780056537,0.946784064
14.63751357,4.615384615,4.597701149,210.1877268,1.003846154,16.72620785,0.956976242,4.031447084,6.793866091,WhitePure,,,,,0.49015139,0.484033504,0.452594412,0.466893286,-0.129204271,0.466893286,0.835346013,0.091133595,1.568953817
13.89969235,4.273504274,4.367816092,181.6710294,0.978407557,14.45692117,0.950967742,3.231662531,7.222531017,WhitePure,,,,,0.136470002,-0.024314691,0.152196119,-0.070739277,-0.424268768,-0.070739277,0.7476966,-1.362001372,2.041505923
14.26860295,4.444444444,4.597701149,199.3710485,0.966666667,15.86544394,0.846727273,4.638181818,5.790181818,WhitePure,,,,,0.313310691,0.229859407,0.452594412,0.262963693,-0.560452383,0.262963693,-0.772918525,1.193514798,0.462511262
15.63619396,4.957264957,4.827586207,244.358597,1.026862027,19.4454393,0.948859813,4.166878505,6.521121495,WhitePure,,,,,0.968878023,0.992381699,0.752992705,1.111125409,0.137758845,1.111125409,0.71694704,0.337200029,1.268285335
13.16187106,4.444444444,3.908045977,165.4460119,1.137254902,13.1657753,0.885869565,4.365326087,6.849782609,WhitePure,,,,,-0.217211417,0.229859407,-0.448600467,-0.376633667,1.418215423,-0.376633667,-0.201927599,0.697761032,1.630595128
13.48602533,4.273504274,4.137931034,179.458527,1.032763533,14.28085583,0.924522613,4.308442211,6.685628141,WhitePure,,,,,-0.061825086,-0.024314691,-0.148202174,-0.112452149,0.206210927,-0.112452149,0.361926435,0.594408262,1.449634348
12.59539634,4.102564103,3.67816092,154.3834999,1.115384615,12.28544857,0.979362319,3.736927536,7.043130435,WhitePure,,,,,-0.488756286,-0.278488788,-0.74899876,-0.585198023,1.164540063,-0.585198023,1.161904473,-0.443981333,1.843738114
15.74424545,4.957264957,4.827586207,241.6544275,1.026862027,19.23024832,0.888150943,4.27109434,6.180679245,WhitePure,,,,,1.020673499,0.992381699,0.752992705,1.060143011,0.137758845,1.060143011,-0.168647836,0.526550615,0.892988238
15.52814256,4.957264957,4.827586207,233.7877523,1.026862027,18.60423821,0.900272904,4.152280702,6.133879142,WhitePure,,,,,0.91708259,0.992381699,0.752992705,0.91183058,0.137758845,0.91183058,0.008182118,0.310677164,0.84139669
16.89573364,5.299145299,5.287356322,282.2169712,1.002229654,22.458113,0.940357724,3.784260163,5.349788618,WhitePure,,,,,1.572649954,1.500729894,1.353789291,1.824878985,-0.147954189,1.824878985,0.592922216,-0.357982304,-0.022969871
13.2251662,4.273504274,3.908045977,172.8210198,1.093514329,13.75265979,0.956875,3.985416667,6.861979167,WhitePure,,,,,-0.18687031,-0.024314691,-0.448600467,-0.237590763,0.910864703,-0.237590763,0.833869139,0.007500561,1.644040383
16.41877162,5.128205128,5.287356322,271.1544593,0.969899666,21.57778627,0.907749577,4.359052453,5.894822335,WhitePure,,,,,1.344013821,1.246555796,1.353789291,1.616314629,-0.522952547,1.616314629,0.1172486,0.686362417,0.577864988
15.59143764,4.957264957,4.597701149,237.2294227,1.078205128,18.87811763,0.890364683,4.068176583,5.103493282,WhitePure,,,,,0.947423666,0.992381699,0.452594412,0.976717269,0.733291952,0.976717269,-0.13635475,0.157867717,-0.29448119
14.11579515,4.444444444,4.367816092,196.9127125,1.01754386,15.66981578,0.974804598,3.982344828,6.600735632,WhitePure,,,,,0.240060869,0.229859407,0.152196119,0.216616058,0.029676612,0.216616058,1.095418398,0.001919312,1.356050453
12.85625554,3.931623932,4.137931034,165.9376791,0.95014245,13.20490094,0.940596206,4.042710027,6.646720867,WhitePure,,,,,-0.36371103,-0.532662885,-0.148202174,-0.36736414,-0.75211821,-0.36736414,0.596401094,0.111597326,1.406743706
15.63619403,4.786324786,5.057471264,236.0002547,0.946386946,18.78030355,0.889034749,4.322316602,5.445173745,WhitePure,,,,,0.968878055,0.738207602,1.053390998,0.953543451,-0.795678625,0.953543451,-0.155755259,0.619616755,0.082180889
15.26728341,4.786324786,4.827586207,229.6085811,0.991452991,18.27167033,0.899285714,4.300555556,5.666111111,WhitePure,,,,,0.792037356,0.738207602,0.752992705,0.833039601,-0.272953642,0.833039601,-0.006218588,0.580078934,0.325738062
16.31072018,5.016591655,5.436429237,256.650277,0.922773283,20.42358011,0.916506239,4.319786096,5.420035651,WhitePure,,,,,1.292218367,1.080595662,1.548587726,1.342863583,-1.069575564,1.342863583,0.244987017,0.615019058,0.054469129
15.00642421,4.786324786,4.597701149,228.8710803,1.041025641,18.21298188,0.9212749,3.883346614,4.9212749,WhitePure,,,,,0.6669921,0.738207602,0.452594412,0.81913531,0.30204384,0.81913531,0.3145502,-0.177951337,-0.495355287
13.85493595,4.273504274,4.367816092,191.7502069,0.978407557,15.25899664,0.902735849,4.711603774,5.969150943,WhitePure,,,,,0.115015613,-0.024314691,0.152196119,0.119286025,-0.424268768,0.119286025,0.044110494,1.326915737,0.65980344
15.05118058,4.609841559,5.121073428,220.7585716,0.900170955,17.56740895,0.821773196,5.059958763,5.075628866,WhitePure,,,,,0.688446479,0.475791431,1.136502017,0.666188116,-1.331741934,0.666188116,-1.136937863,1.95984471,-0.325198395
13.74688451,4.273504274,4.367816092,188.062703,0.978407557,14.96555439,0.940961538,4.153269231,6.14125,WhitePure,,,,,0.063220159,-0.024314691,0.152196119,0.049764573,-0.424268768,0.049764573,0.601730408,0.31247323,0.849522184
12.74820411,3.931623932,4.137931034,159.3001719,0.95014245,12.6767049,0.921352113,4.182422535,5.998309859,WhitePure,,,,,-0.415506474,-0.532662885,-0.148202174,-0.492502754,-0.75211821,-0.492502754,0.31567654,0.365442103,0.691947677
16.54313026,5.47008547,5.057471264,257.372299,1.081585082,20.4810368,0.959010601,3.868056537,5.784240283,WhitePure,,,,,1.403626277,1.754903991,1.053390998,1.356476049,0.772496325,1.356476049,0.865022364,-0.205732,0.455961426
16.23803939,5.128205128,5.057471264,259.3276441,1.013986014,20.63663822,0.982035088,3.914175439,5.584631579,WhitePure,,,,,1.257378165,1.246555796,1.053390998,1.393340668,-0.01159115,1.393340668,1.200893676,-0.121938198,0.235916567
15.39361891,4.957264957,4.827586207,231.2195583,1.026862027,18.39986782,0.96172549,3.699686275,5.610745098,WhitePure,,,,,0.852597441,0.992381699,0.752992705,0.863411764,0.137758845,0.863411764,0.904626004,-0.51164528,0.264703616
